guide_id,expertise_tags,personality_vector,language_pairs,pace_style,group_size_preferred,budget_tier,location_coverage,availability,rating_history,rating_count,specialties
G450,shopping|rural,0.551|0.571|0.440|0.933|0.684,en→th|zh→th,0.884,8,budget,Doi Pui|Old City|Mae Sa Valley|Sankamphaeng,"{""1"": [""morning"", ""evening""], ""2"": [""afternoon""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""afternoon"", ""evening""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""morning"", ""afternoon"", ""evening""], ""7"": [""evening"", ""morning""]}",4.77,69,shopping|rural
G834,nightlife|rural|cooking|river,0.885|0.973|0.150|0.610|0.323,en→th|ko→th,0.33,3,premium,Nimman|Mae Sa Valley,"{""1"": [""morning""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""morning"", ""evening"", ""afternoon""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""morning""], ""6"": [""evening"", ""afternoon"", ""morning""], ""7"": [""evening""]}",4.02,200,nightlife|rural|cooking|river
G540,nature|markets,0.671|0.277|0.205|0.175|0.278,en→th|en→th,0.588,4,premium,Doi Inthanon|Sankamphaeng|Old City|Doi Pui,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""afternoon""], ""3"": [""evening"", ""afternoon""], ""4"": [""evening"", ""morning""], ""5"": [""evening"", ""afternoon""], ""6"": [""afternoon"", ""evening"", ""morning""], ""7"": [""morning"", ""afternoon"", ""evening""]}",3.94,160,nature|markets
G450,history|markets|culture,0.539|0.387|0.977|0.523|0.247,en→th|zh→th,0.159,7,premium,Doi Suthep|Doi Pui|Nimman,"{""1"": [""morning""], ""2"": [""morning""], ""3"": [""evening"", ""afternoon""], ""4"": [""evening"", ""afternoon""], ""5"": [""evening""], ""6"": [""evening"", ""morning""], ""7"": [""evening"", ""morning"", ""afternoon""]}",3.67,40,history|markets|culture
G976,markets|photography,0.807|0.867|0.649|0.241|0.961,en→th|ja→th,0.983,7,premium,Nimman|Night Bazaar|Sankamphaeng,"{""1"": [""morning"", ""afternoon""], ""2"": [""evening"", ""afternoon""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""evening"", ""afternoon""], ""5"": [""morning"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""evening"", ""morning""]}",5.04,4,markets|photography
G264,trekking|river|wellness|cooking,0.330|0.849|0.121|0.485|0.444,en→th|ja→th,0.602,4,budget,Doi Inthanon|Old City|Doi Pui|Doi Suthep,"{""1"": [""afternoon"", ""evening"", ""morning""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""evening"", ""afternoon""], ""4"": [""morning""], ""5"": [""evening""], ""6"": [""afternoon"", ""evening""], ""7"": [""afternoon"", ""morning""]}",4.07,120,trekking|river|wellness|cooking
G351,river|cooking,0.167|0.979|0.759|0.842|0.887,en→th|ja→th,0.631,4,premium,Sankamphaeng,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""evening"", ""morning""], ""5"": [""afternoon""], ""6"": [""morning"", ""afternoon""], ""7"": [""afternoon"", ""morning""]}",3.86,65,river|cooking
G603,cooking|food|culture|history,0.678|0.485|0.825|0.818|0.849,en→th|ja→th,0.154,6,budget,Old City|Doi Inthanon|Night Bazaar|Doi Pui,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""evening""], ""5"": [""afternoon"", ""evening""], ""6"": [""evening"", ""morning""], ""7"": [""afternoon"", ""morning"", ""evening""]}",3.5,165,cooking|food|culture|history
G430,nature|art|nightlife|cooking,0.766|0.954|0.900|0.461|0.364,en→th|ko→th,0.661,7,budget,Nimman,"{""1"": [""afternoon""], ""2"": [""evening""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""morning""], ""6"": [""morning"", ""evening""], ""7"": [""evening""]}",3.43,199,nature|art|nightlife|cooking
G463,nightlife|nature,0.959|0.395|0.384|0.307|0.288,en→th|en→th,0.373,7,mid,Nimman|Doi Pui,"{""1"": [""afternoon""], ""2"": [""afternoon""], ""3"": [""afternoon""], ""4"": [""evening"", ""morning"", ""afternoon""], ""5"": [""afternoon""], ""6"": [""afternoon"", ""morning""], ""7"": [""afternoon""]}",3.62,151,nightlife|nature
G192,history|culture,0.556|0.620|0.565|0.247|0.289,en→th|ja→th,0.947,6,premium,Doi Pui|Doi Suthep|Sankamphaeng,"{""1"": [""afternoon"", ""morning""], ""2"": [""morning"", ""evening""], ""3"": [""afternoon"", ""evening""], ""4"": [""afternoon""], ""5"": [""afternoon"", ""morning""], ""6"": [""evening"", ""afternoon""], ""7"": [""evening""]}",4.82,99,history|culture
G987,food|temples|cooking,0.683|0.391|0.227|0.324|0.608,en→th|ja→th,0.215,3,budget,Old City|Sankamphaeng|Doi Inthanon|Doi Suthep,"{""1"": [""evening"", ""afternoon""], ""2"": [""afternoon""], ""3"": [""morning""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""morning""], ""6"": [""afternoon""], ""7"": [""afternoon""]}",4.56,103,food|temples|cooking
G457,nature|rural|temples|shopping,0.389|0.805|0.398|0.900|0.131,en→th|zh→th,0.885,7,budget,Night Bazaar|Doi Suthep|Old City|Mae Sa Valley,"{""1"": [""afternoon""], ""2"": [""morning""], ""3"": [""afternoon"", ""evening""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""afternoon"", ""evening""], ""6"": [""morning"", ""afternoon""], ""7"": [""evening"", ""afternoon"", ""morning""]}",3.38,146,nature|rural|temples|shopping
G331,culture|trekking,0.563|0.825|0.228|0.693|0.769,en→th|ja→th,0.746,5,premium,Nimman,"{""1"": [""evening""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""afternoon"", ""evening""], ""5"": [""morning"", ""evening"", ""afternoon""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""morning""]}",4.32,162,culture|trekking
G369,rural|markets,0.314|0.457|0.111|0.533|0.872,en→th|ko→th,0.269,7,mid,Sankamphaeng|Doi Inthanon,"{""1"": [""evening""], ""2"": [""evening"", ""afternoon""], ""3"": [""morning"", ""afternoon""], ""4"": [""afternoon"", ""evening""], ""5"": [""morning"", ""afternoon"", ""evening""], ""6"": [""afternoon""], ""7"": [""evening"", ""morning""]}",4.45,58,rural|markets
G623,rural|history|river,0.595|0.366|0.886|0.376|0.493,en→th|zh→th,0.986,2,premium,Doi Pui|Sankamphaeng,"{""1"": [""evening""], ""2"": [""morning""], ""3"": [""evening""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""morning"", ""evening""], ""7"": [""morning"", ""evening"", ""afternoon""]}",4.14,138,rural|history|river
G100,photography|rural|trekking|temples,0.144|0.972|0.461|0.451|0.570,en→th|en→th,0.479,8,mid,Night Bazaar|Mae Sa Valley|Sankamphaeng,"{""1"": [""evening"", ""afternoon""], ""2"": [""evening""], ""3"": [""evening"", ""morning"", ""afternoon""], ""4"": [""morning"", ""evening""], ""5"": [""morning"", ""evening""], ""6"": [""morning"", ""afternoon""], ""7"": [""evening"", ""morning""]}",4.2,57,photography|rural|trekking|temples
G636,culture|photography|history,0.753|0.627|0.705|0.285|0.228,en→th|en→th,0.348,6,budget,Doi Inthanon,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""evening""], ""5"": [""afternoon"", ""morning""], ""6"": [""afternoon"", ""morning""], ""7"": [""afternoon"", ""evening"", ""morning""]}",4.66,181,culture|photography|history
G985,rural|markets|art|temples,0.302|0.193|0.998|0.643|0.639,en→th|ja→th,0.426,8,premium,Doi Pui|Old City|Mae Sa Valley|Sankamphaeng,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""morning""], ""5"": [""afternoon"", ""morning"", ""evening""], ""6"": [""evening""], ""7"": [""evening"", ""afternoon""]}",4.89,181,rural|markets|art|temples
G882,nightlife|shopping|rural,0.438|0.567|0.933|0.444|0.641,en→th|zh→th,0.631,2,premium,Doi Suthep,"{""1"": [""evening"", ""afternoon""], ""2"": [""evening"", ""morning""], ""3"": [""evening"", ""afternoon""], ""4"": [""evening"", ""morning""], ""5"": [""evening"", ""afternoon""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""evening""]}",4.73,84,nightlife|shopping|rural
G887,temples|photography,0.822|0.756|0.864|0.328|0.837,en→th|zh→th,0.41,4,mid,Old City|Night Bazaar|Nimman|Doi Pui,"{""1"": [""evening""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""morning"", ""afternoon""], ""4"": [""afternoon""], ""5"": [""evening"", ""morning""], ""6"": [""afternoon"", ""morning""], ""7"": [""morning"", ""afternoon"", ""evening""]}",3.68,193,temples|photography
G817,trekking|temples|cooking,0.537|0.403|0.494|0.425|0.243,en→th|ja→th,0.252,1,budget,Doi Inthanon|Sankamphaeng,"{""1"": [""evening"", ""morning"", ""afternoon""], ""2"": [""evening"", ""morning"", ""afternoon""], ""3"": [""morning""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""evening""], ""6"": [""evening"", ""afternoon""], ""7"": [""morning"", ""afternoon""]}",3.71,26,trekking|temples|cooking
G351,rural|markets|temples|shopping,0.613|0.174|0.999|0.498|0.137,en→th|zh→th,0.593,5,budget,Nimman|Doi Pui|Mae Sa Valley|Doi Suthep,"{""1"": [""evening"", ""morning""], ""2"": [""morning""], ""3"": [""morning"", ""evening""], ""4"": [""afternoon"", ""evening"", ""morning""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""evening""], ""7"": [""afternoon"", ""evening"", ""morning""]}",3.82,67,rural|markets|temples|shopping
G619,nature|river|trekking,0.388|0.421|0.962|0.221|0.874,en→th|ko→th,0.988,4,premium,Doi Suthep|Doi Pui,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""afternoon"", ""morning"", ""evening""], ""3"": [""evening"", ""morning""], ""4"": [""evening"", ""afternoon""], ""5"": [""evening"", ""afternoon""], ""6"": [""morning""], ""7"": [""evening""]}",2.84,114,nature|river|trekking
G320,wellness|food|nature|art,0.881|0.233|0.714|0.159|0.747,en→th|ko→th,0.613,1,premium,Doi Pui|Mae Sa Valley|Doi Suthep|Nimman,"{""1"": [""evening"", ""afternoon""], ""2"": [""morning"", ""afternoon""], ""3"": [""evening""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""morning"", ""afternoon"", ""evening""], ""6"": [""evening""], ""7"": [""evening""]}",3.95,49,wellness|food|nature|art
G813,shopping|markets,0.783|0.261|0.263|0.684|0.545,en→th|ko→th,0.208,2,budget,Doi Pui|Sankamphaeng|Nimman|Mae Sa Valley,"{""1"": [""afternoon""], ""2"": [""morning""], ""3"": [""afternoon"", ""morning""], ""4"": [""afternoon"", ""evening"", ""morning""], ""5"": [""morning""], ""6"": [""afternoon"", ""morning""], ""7"": [""afternoon""]}",4.35,165,shopping|markets
G434,history|nature|art|river,0.571|0.118|0.646|0.984|0.153,en→th|ko→th,0.436,3,budget,Old City,"{""1"": [""morning"", ""afternoon""], ""2"": [""morning""], ""3"": [""evening""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""morning"", ""evening""], ""6"": [""afternoon"", ""morning"", ""evening""], ""7"": [""morning"", ""evening"", ""afternoon""]}",4.34,137,history|nature|art|river
G774,markets|temples,0.942|0.197|0.715|0.631|0.251,en→th|ko→th,0.19,4,premium,Mae Sa Valley|Nimman,"{""1"": [""morning"", ""evening""], ""2"": [""morning"", ""afternoon""], ""3"": [""morning""], ""4"": [""morning"", ""afternoon""], ""5"": [""afternoon""], ""6"": [""afternoon""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.23,169,markets|temples
G602,nature|nightlife|shopping|markets,0.732|0.570|0.781|0.679|0.354,en→th|en→th,0.222,4,mid,Doi Pui|Nimman|Sankamphaeng|Old City,"{""1"": [""morning"", ""afternoon""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""afternoon"", ""morning""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""evening"", ""morning""], ""6"": [""afternoon"", ""morning"", ""evening""], ""7"": [""afternoon""]}",3.85,137,nature|nightlife|shopping|markets
G290,rural|river,0.716|0.490|0.558|0.864|0.558,en→th|zh→th,0.713,1,budget,Sankamphaeng,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""morning"", ""evening""], ""3"": [""afternoon""], ""4"": [""evening""], ""5"": [""afternoon""], ""6"": [""morning""], ""7"": [""afternoon"", ""morning"", ""evening""]}",4.51,58,rural|river
G525,river|rural|photography,0.140|0.228|0.322|0.702|0.894,en→th|ko→th,0.481,5,budget,Doi Pui|Mae Sa Valley|Old City,"{""1"": [""afternoon"", ""morning""], ""2"": [""afternoon"", ""morning""], ""3"": [""evening"", ""afternoon"", ""morning""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""evening""], ""6"": [""morning""], ""7"": [""afternoon""]}",4.77,42,river|rural|photography
G580,temples|wellness|cooking|markets,0.458|0.583|0.356|0.613|0.198,en→th|ko→th,0.207,4,budget,Nimman|Doi Suthep|Doi Inthanon|Old City,"{""1"": [""morning""], ""2"": [""morning""], ""3"": [""morning"", ""evening""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""afternoon"", ""evening"", ""morning""], ""6"": [""evening"", ""morning""], ""7"": [""evening"", ""morning"", ""afternoon""]}",4.45,185,temples|wellness|cooking|markets
G330,food|shopping|river,0.954|0.407|0.955|0.930|0.415,en→th|zh→th,0.281,1,mid,Night Bazaar|Sankamphaeng|Doi Inthanon|Old City,"{""1"": [""morning"", ""afternoon"", ""evening""], ""2"": [""afternoon""], ""3"": [""morning""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""evening""], ""6"": [""morning"", ""evening""], ""7"": [""morning"", ""afternoon"", ""evening""]}",3.98,82,food|shopping|river
G120,food|culture|history,0.716|0.105|0.103|0.153|0.449,en→th|ko→th,0.61,4,premium,Doi Suthep,"{""1"": [""evening"", ""afternoon"", ""morning""], ""2"": [""evening"", ""afternoon"", ""morning""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""evening"", ""afternoon""], ""5"": [""morning"", ""afternoon""], ""6"": [""afternoon"", ""morning"", ""evening""], ""7"": [""evening"", ""morning""]}",3.99,99,food|culture|history
G515,river|culture|nature,0.766|0.489|0.370|0.138|0.469,en→th|ko→th,0.892,4,mid,Mae Sa Valley|Doi Suthep,"{""1"": [""afternoon"", ""evening""], ""2"": [""afternoon"", ""evening""], ""3"": [""afternoon"", ""evening""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""morning""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""evening"", ""afternoon""]}",3.9,100,river|culture|nature
G629,art|history,0.589|0.507|0.914|0.960|0.883,en→th|ko→th,0.471,4,budget,Night Bazaar|Mae Sa Valley|Nimman,"{""1"": [""afternoon""], ""2"": [""evening""], ""3"": [""afternoon""], ""4"": [""evening"", ""morning"", ""afternoon""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""afternoon"", ""morning""]}",4.5,189,art|history
G982,markets|art,0.385|0.940|0.651|0.762|0.888,en→th|en→th,0.709,2,budget,Old City,"{""1"": [""morning"", ""afternoon""], ""2"": [""morning"", ""evening""], ""3"": [""afternoon""], ""4"": [""afternoon""], ""5"": [""afternoon"", ""evening"", ""morning""], ""6"": [""evening"", ""morning""], ""7"": [""afternoon"", ""morning""]}",4.3,38,markets|art
G873,photography|history,0.579|0.656|0.242|0.597|0.523,en→th|en→th,0.985,4,budget,Sankamphaeng|Old City,"{""1"": [""afternoon""], ""2"": [""afternoon"", ""evening""], ""3"": [""morning""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""evening"", ""afternoon"", ""morning""]}",3.92,21,photography|history
G463,history|culture|rural,0.662|0.710|0.925|0.200|0.942,en→th|ko→th,0.964,4,premium,Doi Inthanon|Mae Sa Valley|Old City,"{""1"": [""evening""], ""2"": [""afternoon"", ""morning"", ""evening""], ""3"": [""morning"", ""afternoon""], ""4"": [""morning"", ""afternoon"", ""evening""], ""5"": [""morning""], ""6"": [""morning"", ""afternoon"", ""evening""], ""7"": [""afternoon"", ""evening""]}",5.01,194,history|culture|rural
G813,art|wellness|history|nature,0.596|0.218|0.980|0.662|0.761,en→th|ko→th,0.117,7,budget,Doi Pui|Nimman|Old City|Night Bazaar,"{""1"": [""afternoon"", ""evening""], ""2"": [""evening"", ""afternoon""], ""3"": [""afternoon""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""afternoon"", ""morning""], ""6"": [""evening"", ""morning""], ""7"": [""afternoon"", ""morning"", ""evening""]}",4.41,32,art|wellness|history|nature
G741,trekking|history,0.259|0.158|0.615|0.313|0.179,en→th|ko→th,0.168,1,premium,Doi Suthep|Sankamphaeng|Doi Inthanon,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""evening""], ""3"": [""morning""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""morning"", ""evening"", ""afternoon""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""morning"", ""afternoon"", ""evening""]}",3.97,50,trekking|history
G999,art|shopping|cooking|culture,0.522|0.758|0.633|0.875|0.498,en→th|zh→th,0.557,2,budget,Doi Inthanon|Doi Suthep,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""afternoon""], ""3"": [""morning""], ""4"": [""evening"", ""afternoon""], ""5"": [""afternoon"", ""evening"", ""morning""], ""6"": [""afternoon"", ""evening""], ""7"": [""morning"", ""evening"", ""afternoon""]}",3.97,72,art|shopping|cooking|culture
G702,history|food,0.157|0.410|0.760|0.658|0.836,en→th|ja→th,0.172,8,budget,Mae Sa Valley,"{""1"": [""evening"", ""morning"", ""afternoon""], ""2"": [""afternoon"", ""evening"", ""morning""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""afternoon"", ""evening""], ""5"": [""evening"", ""morning"", ""afternoon""], ""6"": [""morning"", ""evening"", ""afternoon""], ""7"": [""afternoon"", ""evening""]}",3.8,103,history|food
G114,rural|art|river,0.237|0.764|0.447|0.955|0.886,en→th|ko→th,0.809,7,premium,Doi Pui|Night Bazaar,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""morning""], ""3"": [""afternoon""], ""4"": [""morning"", ""afternoon""], ""5"": [""morning"", ""evening""], ""6"": [""afternoon"", ""morning""], ""7"": [""evening"", ""afternoon""]}",5.0,58,rural|art|river
G244,art|shopping,0.751|0.490|0.953|0.244|0.972,en→th|zh→th,0.154,2,budget,Sankamphaeng|Doi Inthanon|Night Bazaar,"{""1"": [""afternoon"", ""morning"", ""evening""], ""2"": [""morning"", ""afternoon""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""evening"", ""afternoon"", ""morning""], ""5"": [""morning"", ""afternoon"", ""evening""], ""6"": [""afternoon"", ""morning"", ""evening""], ""7"": [""afternoon"", ""morning"", ""evening""]}",3.71,53,art|shopping
G724,cooking|trekking|nature,0.670|0.912|0.529|0.352|0.407,en→th|zh→th,0.814,4,budget,Nimman|Mae Sa Valley|Doi Inthanon,"{""1"": [""afternoon""], ""2"": [""afternoon"", ""morning"", ""evening""], ""3"": [""morning"", ""afternoon"", ""evening""], ""4"": [""afternoon"", ""morning"", ""evening""], ""5"": [""evening"", ""afternoon""], ""6"": [""afternoon""], ""7"": [""morning"", ""afternoon""]}",4.37,182,cooking|trekking|nature
G649,nature|rural,0.800|0.526|0.301|0.103|0.421,en→th|zh→th,0.659,3,mid,Sankamphaeng|Night Bazaar|Doi Inthanon,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""afternoon""], ""4"": [""evening"", ""morning""], ""5"": [""afternoon"", ""morning""], ""6"": [""afternoon""], ""7"": [""morning""]}",3.71,20,nature|rural
G266,art|markets|culture,0.502|0.444|0.241|0.500|0.383,en→th|zh→th,0.943,8,mid,Sankamphaeng|Night Bazaar,"{""1"": [""morning"", ""evening""], ""2"": [""afternoon""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""evening"", ""afternoon""], ""5"": [""morning"", ""afternoon"", ""evening""], ""6"": [""morning"", ""afternoon""], ""7"": [""morning"", ""afternoon"", ""evening""]}",3.51,144,art|markets|culture
G522,food|nightlife|river|cooking,0.746|0.219|0.157|0.161|0.236,en→th|ja→th,0.571,4,budget,Mae Sa Valley|Night Bazaar|Old City,"{""1"": [""afternoon""], ""2"": [""evening"", ""morning""], ""3"": [""afternoon"", ""evening"", ""morning""], ""4"": [""morning"", ""evening"", ""afternoon""], ""5"": [""morning""], ""6"": [""morning"", ""evening""], ""7"": [""evening""]}",4.16,164,food|nightlife|river|cooking
G831,trekking|art|food|markets,0.297|0.309|0.237|0.883|0.551,en→th|ko→th,0.391,7,budget,Sankamphaeng|Old City|Mae Sa Valley,"{""1"": [""morning"", ""evening"", ""afternoon""], ""2"": [""morning"", ""evening"", ""afternoon""], ""3"": [""afternoon"", ""morning"", ""evening""], ""4"": [""morning"", ""afternoon"", ""evening""], ""5"": [""morning"", ""evening""], ""6"": [""morning"", ""afternoon"", ""evening""], ""7"": [""afternoon"", ""evening"", ""morning""]}",4.1,51,trekking|art|food|markets
